Date,Location,Daily Max Temperature,Air Quality PM2.5,RH,Temperature,Building Density,Population Density,Latitude,Longitude,Clothing Factor,Activity Level,DI_1,DI_2,DI_3,Urban Heat Risk Composite,Urban Heat Risk,Risk Class
2025-01-01,Penrith ,36.3,1.25941666464011,69.4522501627604,18.7266666094462,368903.5,12093,-33.7511954,150.6941711,4.0,4,38119.284391681846,20275.01341667647,39322.11252916281,4.0,1.0,High
2025-01-02,Penrith ,22.8,2.13372224569321,67.8273350397746,18.7703336079915,368903.5,12093,-33.7511954,150.6941711,4.0,4,38119.05993931492,20274.911741994816,39322.00903637906,4.0,1.0,High
2025-01-03,Penrith ,28.7,1.98891667524974,69.7817083994548,18.7530837059021,368903.5,12093,-33.7511954,150.6941711,4.0,4,38119.431158459185,20275.178864687678,39322.19119597077,4.0,1.0,High
2025-01-04,Penrith ,34.4,2.50295831759771,70.2955837249756,19.5116251309713,368903.5,12093,-33.7511954,150.6941711,3.5,4,38119.862900116044,20275.54768758913,39322.60877508421,3.7,0.8333333333333335,High
2025-01-05,Penrith ,38.3,3.42862500747045,69.2636241912842,21.4941665331523,368903.5,12093,-33.7511954,150.6941711,3.0,3,38120.293837298945,20275.852379013097,39323.27075195611,3.0,0.4444444444444444,Medium
2025-01-06,Penrith ,39.6,3.0497499704361,65.6324170430501,22.4898749987284,368903.5,12093,-33.7511954,150.6941711,3.0,3,38119.82842090527,20275.4997938017,39323.23718545239,3.0,0.4444444444444444,Medium
2025-01-07,Penrith ,20.7,3.22866670290629,65.7565409342448,24.9358331362406,368903.5,12093,-33.7511954,150.6941711,3.0,3,38120.60492479801,20276.15673942963,39324.114629026255,3.0,0.4444444444444444,Medium
2025-01-08,Penrith ,21.5,3.14516667524974,66.8659992218018,25.2062085469564,368903.5,12093,-33.7511954,150.6941711,2.0,4,38121.09957907598,20276.628227021298,39324.51603124737,2.8,0.33333333333333326,Medium
2025-01-09,Penrith ,25.7,3.26183331012726,66.6248334248861,24.2245418230693,368903.5,12093,-33.7511954,150.6941711,3.0,3,38120.56851256291,20276.114135466014,39323.95416464607,3.0,0.4444444444444444,Medium
2025-01-10,Penrith ,24.3,3.08312497536341,65.9507077534993,23.8809997240702,368903.5,12093,-33.7511954,150.6941711,3.0,3,38120.31275396545,20275.900324840342,39323.75757692754,3.0,0.4444444444444444,Medium
2025-01-11,Penrith ,28.1,2.83137498299281,67.9370416005452,24.0216388702393,368903.5,12093,-33.7511954,150.6941711,3.0,4,38120.827037479474,20276.395672205086,39324.04284651379,3.4,0.6666666666666665,High
2025-01-12,Penrith ,30.3,3.47945833206177,71.5746243794759,23.9792917569478,368903.5,12093,-33.7511954,150.6941711,2.5,3,38121.556658236186,20276.852935345967,39324.44918746948,2.7,0.2777777777777779,Low
2025-01-13,Penrith ,34.1,3.94212500254313,72.693084081014,23.890208085378,368903.5,12093,-33.7511954,150.6941711,2.5,3,38121.79989174207,20277.067833383877,39324.55298748811,2.7,0.2777777777777779,Low
2025-01-14,Penrith ,33.4,3.65775001049042,73.1804580688477,24.1766254107157,368903.5,12093,-33.7511954,150.6941711,2.5,3,38121.954854238036,20277.169887564578,39324.68775220116,2.7,0.2777777777777779,Low
2025-01-15,Penrith ,33.4,4.31337493658066,75.1926244099935,21.4616500854492,368903.5,12093,-33.7511954,150.6941711,2.5,3,38121.608357401296,20276.891312423348,39323.97150871774,2.7,0.2777777777777779,Low
2025-01-16,Penrith ,33.9,3.44504167636236,75.259583791097,20.9801249504089,368903.5,12093,-33.7511954,150.6941711,2.5,3,38121.39045841098,20276.65072505772,39323.76625419557,2.7,0.2777777777777779,Low
2025-01-17,Penrith ,23.2,1.99133333812157,74.8578325907389,21.2271943092346,368903.5,12093,-33.7511954,150.6941711,2.5,4,38121.33885814473,20276.634173466635,39323.78986793421,3.1,0.5,Medium
2025-01-18,Penrith ,21.0,0.422458333273729,75.0788326263428,20.7468336423238,368903.5,12093,-33.7511954,150.6941711,2.5,5,38121.18206245129,20276.511902054524,39323.61539795411,3.5,0.7222222222222223,High
2025-01-19,Penrith ,27.4,0.946833337346713,75.171791712443,20.5832918485006,368903.5,12093,-33.7511954,150.6941711,2.5,5,38121.20402923077,20276.56361671959,39323.59367298509,3.5,0.7222222222222223,High
2025-01-20,Penrith ,24.5,1.07962501049042,75.7082907358805,20.5320000648499,368903.5,12093,-33.7511954,150.6941711,2.5,4,38121.20922066768,20276.451187378167,39323.58601034681,3.1,0.5,Medium
2025-01-21,Penrith ,28.1,1.23137498398622,76.3145001729329,20.4560001691182,368903.5,12093,-33.7511954,150.6941711,2.5,4,38121.32283758372,20276.545881315815,39323.62761882568,3.1,0.5,Medium
2025-01-22,Penrith ,32.4,1.38329166173935,75.3904997507731,20.2999159495036,368903.5,12093,-33.7511954,150.6941711,2.5,4,38121.106403901176,20276.39104769925,39323.488185140486,3.1,0.5,Medium
2025-01-23,Penrith ,39.6,3.2787083586057,74.0094165802002,20.3036659558614,368903.5,12093,-33.7511954,150.6941711,2.5,3,38120.92085393866,20276.269135229784,39323.396160160504,2.7,0.2777777777777779,Low
2025-01-24,Penrith ,25.2,1.33590278526147,70.0613753000895,20.3065832455953,368903.5,12093,-33.7511954,150.6941711,2.5,4,38120.03784031222,20275.5862375242,39322.955236805225,3.1,0.5,Medium
2025-01-25,Penrith ,28.4,1.48662500580152,63.786083539327,19.9553748766581,368903.5,12093,-33.7511954,150.6941711,4.0,4,38118.54249167144,20274.50475000093,39321.98732081105,4.0,1.0,High
2025-01-26,Penrith ,30.2,2.53433333834012,59.642583211263,20.7288331985474,368903.5,12093,-33.7511954,150.6941711,3.0,4,38118.150599935645,20274.283745782075,39322.04606660753,3.4,0.6666666666666665,High
2025-01-27,Penrith ,30.2,2.0470416645209,54.194042523702,20.9983331362406,368903.5,12093,-33.7511954,150.6941711,3.0,4,38117.09301261206,20273.46074591229,39321.571172933276,3.4,0.6666666666666665,High
2025-01-28,Penrith ,42.5,1.04275000592073,49.6037921905518,21.3416255315145,368903.5,12093,-33.7511954,150.6941711,3.0,4,38116.17752109815,20272.707387712348,39321.18208565538,3.4,0.6666666666666665,High
2025-01-29,Penrith ,26.9,1.13858333230019,54.6786257425944,22.1341665585836,368903.5,12093,-33.7511954,150.6941711,3.0,4,38117.43983344932,20273.68112300088,39321.97175003638,3.4,0.6666666666666665,High
2025-01-30,Penrith ,24.4,0.777416661381722,59.8047494888306,22.5194166501363,368903.5,12093,-33.7511954,150.6941711,3.0,5,38118.64451655894,20274.692179085065,39322.6511416095,3.8,0.8888888888888888,High
2025-01-31,Penrith ,25.4,0.499458335340023,55.2594998677572,24.2653333346049,368903.5,12093,-33.7511954,150.6941711,3.0,5,38118.23144580746,20274.405177064113,39322.79378957066,3.8,0.8888888888888888,High
2025-02-01,Penrith ,25.2,0.789541666706403,54.6998332341512,20.288249651591,368903.5,12093,-33.7511954,150.6941711,3.0,5,38116.955395708974,20273.370468648023,39321.36034778481,3.8,0.8888888888888888,High
